Name,Age,Occupation,Function,Hometown,Height,ElimWeek,Season,First_Impression_Rose
Katie Gehart,22,LASIK Eye and Skin Center manager,Medical,"Scottsdale, Arizona",,3,5,0
Jean-Marie Callahan,26,Hair stylist,Retail/Services/Entrepreneur,"Gibson, North Carolina",,2,5,0
Debbie Merkett,27,Massage therapist/bartender,Retail/Services/Entrepreneur,"Pinetops, North Carolina",,2,5,0
Anne-Catherine Labbé,27,Model/make-up artist,Arts/Entertainment,"Quebec City, Quebec",,2,5,0
Amber LaRoux,27,Consultant,Retail/Services/Entrepreneur,"Sunriver, Oregon",,2,5,0
Mandy Clemens,25,Professional soccer player,Arts/Entertainment,"San Diego, California",,2,5,0
Kristy Romero,25,Student,Student,"Dearborn, Michigan",,2,5,0
Celeste Creel,24,Model/executive assistant,Arts/Entertainment,"Ithaca, New York",,2,5,0
Jenny Matthews,24,Retail manager,Retail/Services/Entrepreneur,"Canton, Michigan",,2,5,0
Dolores Farburg,26,Account manager,Sales,"Madison, New Jersey",,1,5,0
Francine Jones,25,Retail manager,Retail/Services/Entrepreneur,"Houston, Texas",,1,5,0
DeShaun Warner,25,Account manager/sales,Sales,"Phillipsburg, New Jersey",,1,5,0
Jessica Kyron,21,Student,Student,"Cincinnati, Ohio",,1,5,0
Holly Reeder,26,Bank representative,Finance,"Tulsa, Oklahoma",,1,5,0
Rachel Clementi,26,Fashion public relations manager,Arts/Entertainment,"Buffalo, New York",,1,5,0
Kristin Clearwater,25,Singer,Arts/Entertainment,"Sausalito, California",,1,5,0
Jennifer Wilson,24,Teacher,Education,"Pembroke Pines, Florida",,8,9,0
Sadie Murray,23,Publicist,Corporate,"Carlsbad, California",,7,9,0
Lisa Blank,25,Marketing manager,Marketing,"Portland, Oregon",,6,9,1
Agnese Polliza,24,Student,Student,"Venice, Italy",,5,9,0
Jeanette Pawula,23,Teacher,Education,"Bloomingdale, Illinois",,4,9,0
Desiree Valentin,22,Realtor,Real Estate,"Salt Lake City, Utah",,4,9,0
Jami Matzke,27,Event planner,Retail/Services/Entrepreneur,"Galveston, Texas",,3,9,0
Gina Clark,28,Ultrasound technician,Medical,"Chicago, Illinois",,3,9,0
Erica Rose,23,Socialite,Arts/Entertainment,"Houston, Texas",,3,9,0
Sarah Schnare,30,Journalist,Arts/Entertainment,"Nelson, British Columbia",,2,9,0
Kim Jackson,27,Interior designer,Retail/Services/Entrepreneur,"Newport Beach, California",,2,9,0
Ellen DeMaio,30,Realtor,Real Estate,"New Haven, Connecticut",,2,9,0
Tara Durr,24,Realtor,Real Estate,"St. Augustine, Florida",,1,9,0
Rosella Fratto,27,Make-up artist,Arts/Entertainment,"Chicago, Illinois",,1,9,0
Rita Ghazal,29,Policy advisor,Government,"Richmond, VA",,1,9,0
Renee Snell,30,Broadcast marketer,Marketing,"Baltimore, MD",,1,9,0
Meri Barr,27,Attorney,Legal,"Biloxi, MS",,1,9,0
Laura Morgan,29,Dolphin trainer,Arts/Entertainment,"San Diego, CA",,1,9,0
Jessica Horner,25,Assistant buyer,Real Estate,"Charlotte, NC",,1,9,0
Heather Sneed,34,Registered nurse,Medical,"Aliquippa, PA",,1,9,0
Elyse Hammer,27,Physician,Medical,"New York, NY",,1,9,0
Cosetta Blanca,,Dancer,Arts/Entertainment,"Venice, Italy",,1,9,0
Claudia Gismondi,22,Restaurateur,Restaurant,"Boca Raton, FL",,1,9,0
Carissa Ilburg,25,Attorney,Legal,"Cattaraugus, NY",,1,9,0
Britt (Bowe) Newton,28,Beer chemist,Misc,"Columbus, OH",,1,9,0
Andrea Shirley,28,Hotel concierge,Retail/Services/Entrepreneur,"Cincinnati, OH",,1,9,0
April Jacobs,23,Model,Arts/Entertainment,"Chicago, IL",,1,9,0
Tessa Horst,26,Social Worker,Government,"San Francisco, California",,9,10,0
Bevin Nicole Powers,28,Assistant,Corporate,"Palo Alto, California",,8,10,0
Danielle Imwalle,25,Graphic Designer,Arts/Entertainment,"Bethel, Connecticut",,7,10,0
Amber Alchalabi,23,Teacher,Education,"Sugar Land, Texas",,6,10,0
Stephanie Wilhite,23,Project Manager,Corporate,"Overland Park, Kansas",,5,10,0
Tina Wu,26,Medical student,Student,"Los Angeles, California",,5,10,0
Kate Brockhouse,24,Boutique owner,Retail/Services/Entrepreneur,"Ravenel, South Carolina",,4,10,0
Nicole Clary,26,Sales Manager,Sales,"Charleston, SC",,4,10,0
Stephanie Tipper,27,Organ donor coordinator,Medical,"Folly Beach, SC",,4,10,1
Amanda Hackney,26,Financial analyst,Finance,"Dallas, TX",,3,10,0
Erin Parker,24,Financial analyst,Finance,"Logansport, LA",,3,10,0
Peyton Wright,24,Sorority recruiter,Misc,"La Vergne, Tennessee",,3,10,0
Alexis Young,26,Attorney,Legal,"Southlake, TX",,2,10,0
Susan Anderson,23,Boutique manager,Retail/Services/Entrepreneur,"The Woodlands, TX",,2,10,0
Tiffany Warren,28,Medical equipment sales rep,Sales,"Boston, MA",,2,10,0
Blakeney Rowe,29,Radio sales,Sales,"Birmingham, AL",,1,10,0
Candace DeCost,23,Waitress,Restaurant,"Hilton Head Island, SC",,1,10,0
Catherine Warren,23,Former Miss Illinois,Misc,"Lake Forest, IL",,1,10,0
Danielle Vallis,26,Attorney,Legal,"Bronx, NY",,1,10,0
Jackie Topelli,23,Executive coordinator,Corporate,"Minneapolis, MN",,1,10,0
Jeanette Alvarez,27,Health care manager,Medical,"Tampa, FL",,1,10,0
Jessica Devallo,32,Hedge fund analyst,Finance,"New York, NY",,1,10,0
Linda Malek,33,Attorney,Legal,"Cuyahoga Falls, OH",,1,10,0
Lindsay Smith,22,Student,Student,"Lawrence, KS",,1,10,0
Tiffany Forester,27,Real estate sales/development,Real Estate,"St. Louis Park, MN",,1,10,0
Deanna Pappas,25,Realtor,Real Estate,"Newnan, Georgia",,8,11,0
Jenni Croft,27,Phoenix Suns Cheerleader,Arts/Entertainment,"Wichita, Kansas",,8,11,1
Bettina Bell,27,Realtor,Real Estate,"Washington, D.C.",,7,11,0
Sheena Stewart,23,Internet marketing executive,Marketing,"Walnut Creek, California",,6,11,0
Hillary Reisinger,27,Registered nurse,Medical,"Philadelphia, Pennsylvania",,5,11,0
Kristy Katzmann,29,Acupuncturist,Medical,"Gurnee, Illinois",,5,11,0
"Estefania ""Stephy"" Kootz",26,Executive assistant,Corporate,"Atlanta, Georgia",,4,11,0
Jade Beazley,24,Boutique sales worker,Retail/Services/Entrepreneur,"Nashville, Tennessee",,4,11,0
McCarten Delaney,26,Account manager,Sales,"Lemon Grove, California",,4,11,0
Lindsey Hawkins,25,Model,Arts/Entertainment,"Livonia, Michigan",,3,11,0
Sarah Newlon,23,Bar manager,Restaurant,"O'Fallon, Illinois",,3,11,0
Solisa Shoop,25,Esthetician,Medical,"Georgetown, Texas",,3,11,0
Michele Leavy,30,Realtor,Real Estate,"South Brunswick, New Jersey",,2,11,0
Mallory Simons,24,Nanny,Retail/Services/Entrepreneur,"Honolulu, Hawaii",,2,11,0
Erin Gardner,25,Publishing sales executive,Sales,"Tampa, Florida",,2,11,0
Jessica Kiss,27,News anchor,Arts/Entertainment,"Lady Lake, Florida",,1,11,0
Juli Gilliam,24,Law student,Student,"Chicago, Illinois",,1,11,0
Kim Orville,31,Realtor,Real Estate,"Woodbridge, Connecticut",,1,11,0
Lori Langley,33,Biology teacher,Education,"Annapolis, Maryland",,1,11,0
Melissa Buschel,28,Event planner,Retail/Services/Entrepreneur,"Westchester, New York",,1,11,0
Morgan Becker,24,Graduate student,Student,"Tempe, Arizona",,1,11,0
Natalie Velasco,25,Law student,Student,"Duncanville, Texas",,1,11,0
Regina Doringa,31,Account representative,Sales,"San Diego, California",,1,11,0
Tauni Nessler ,31,Emergency room nurse,Medical,"St. Louis Park, Minnesota",,1,11,0
Susan Stein,35,Project analyst,Corporate,"St. Charles, Illinois",,1,11,0
Shayne Lamas,22,Actress,Arts/Entertainment,"Malibu, California",,9,12,0
Chelsea Wanstrath,25,Pharmaceutical sales rep.,Sales,"Durango, Colorado",,8,12,0
Amanda Rantuccio,27,Account Executive,Sales,"Niceville, Florida",,7,12,1
Noelle Drake,26,Photographer,Arts/Entertainment,"Loveland, Colorado",,6,12,0
Marshana Ritchie,27,Fashion designer,Arts/Entertainment,"Brooklyn, New York",,5,12,0
Robin Canfield,22,Advertising coordinator,Marketing,"Holland, Michigan",,5,12,0
Ashlee Williss,22,Singer-songwriter,Arts/Entertainment,"Jacksonville Beach, Florida",,4,12,0
Kelly Duncan,25,Medical sales rep.,Sales,"Hollywood, California",,4,12,0
Holly Durst,24,Children's book author,Arts/Entertainment,"Suffield, Ohio",,4,12,0
Amy,22,Nanny,Retail/Services/Entrepreneur,"Stockton, California",,3,12,0
Erin Storm,33,Hot-dog vendor,Retail/Services/Entrepreneur,"Venice, California",,3,12,0
Kristine Heffelfinger,33,Personal trainer,Retail/Services/Entrepreneur,"Dillsburg, Pennsylvania",,3,12,0
Carri Perrier,25,Church marketing rep.,Marketing,"Oklahoma City, Oklahoma",,2,12,0
Erin Harper,25,Event planner,Retail/Services/Entrepreneur,"Seattle, Washington",,2,12,0
Michelle P.,28,Administrative assistant,Corporate,"Syracuse, New York",,2,12,0
Alyssa,24,Biology student,Student,"Boise, Idaho",,1,12,0
Amanda Petterman,26,Law student,Student,"LaFollette, Tennessee",,1,12,0
Denise,30,Attorney and former White House aide,Legal,"Washington, D.C",,1,12,0
Devon,24,Makeup artist,Arts/Entertainment,"Austin, Texas",,1,12,0
Lesley Geyer,23,Youth minister,Misc,"Tampa, Florida",,1,12,0
Michele R.,33,Interior designer,Retail/Services/Entrepreneur,"Laguna Niguel, California",,1,12,0
Rebecca,30,Attorney,Legal,"Alamo, California",,1,12,0
Stacey Elza,26,Graduate student,Student,"Chicago, Illinois",,1,12,0
Tamara,23,Cocktail waitress,Restaurant,"Beverly Hills, California",,1,12,0
Tiffany,33,Real estate marketing rep.,Marketing,"San Francisco, California",,1,12,0
Melissa Rycroft,25,Sales Representative,Sales,"Dallas, Texas",,9,13,0
Molly Malaney,24,Department Store Buyer,Retail/Services/Entrepreneur,"Brookfield, Wisconsin",,8,13,0
Jillian Harris,29,Interior Designer,Retail/Services/Entrepreneur,"Peace River, Alberta",,7,13,0
Naomi Rose Crespo,24,Flight Attendant,Transportation,"Carlsbad, California",,6,13,0
Stephanie Hogan,34,Single Mother & Medical Marketing Rep.,Marketing,"Huntsville, Alabama",,5,13,0
Lauren Wanger,27,Teacher,Education,"Marlboro, New Jersey",,4,13,0
Megan Parris,25,Single Mother and Lacrosse Coach,Arts/Entertainment,"Sewickley, Pennsylvania",,4,13,0
Shannon Bair,29,Dental Hygienist,Medical,"Marshall, Missouri",,4,13,0
"Nicole ""Nikki"" Kaapke",29,Administrative Assistant,Corporate,"Blue Island, Illinois",,4,13,1
Erica DeSimone,25,Account Executive,Sales,"Monroe, Connecticut",,3,13,0
Kari Fajen,27,Account Executive,Sales,"Lee's Summit, Missouri",,3,13,0
Natalie Getz,27,Human Resources Recruiter,Sales,"Morton, Illinois",,3,13,0
Raquel Medeiros,27,Medical Student,Student,"Recife, Pernambuco, Brazil",,2,13,0
Sharon Staebell,32,Teacher,Education,"Batavia, New York",,2,13,0
Lisa Gonzalez,28,Public Relations Associate,Corporate,"Boise, Idaho",,2,13,0
Ann Lueders,24,Flight Attendant,Transportation,"Phoenix, Arizona",,1,13,0
Dominique Carta,26,Medical Sales Rep.,Sales,"Mt. Carmel, Pennsylvania",,1,13,0
Emily,23,Casino Marketing Rep.,Marketing,"Seattle, Washington",,1,13,0
Jackie Hickey,26,Wedding Coordinator,Retail/Services/Entrepreneur,"Springfield, Massachusetts",,1,13,0
Julie Dermotta,26,Teacher,Education,"Columbus, Ohio",,1,13,0
Nicole Mah,25,Menswear Buyer,Retail/Services/Entrepreneur,"Calgary, Alberta",,1,13,0
Renee Simlak,36,Jewelry Designer,Arts/Entertainment,"Southfield, Michigan",,1,13,0
Shelby,23,Account Executive,Sales,"Stockton, California",,1,13,0
Stacia Mann,24,Single Mother & Charity Accountant,Finance,"Orem, Utah",,1,13,0
Treasure Morgan,28,Single Mother and Nurse Practitioner,Medical,"Salt Lake City, Utah",,1,13,0
Vienna Girardi,23,Marketing Representative,Marketing,"Geneva, Florida",,9,14,1
Tenley Molzahn,25,College Admissions,Education,"Newberg, Oregon",,8,14,0
Gia Allemand,26,Swimsuit Model,Arts/Entertainment,"New York, New York",,7,14,0
Ali Fedotowsky,25,Advertising Account Manager,Sales,"Williamstown, Massachusetts",,6,14,0
Corrie Adamson,23,Wardrobe Consultant,Retail/Services/Entrepreneur,"Kissimmee, Florida",,5,14,0
Ashleigh Hunt,25,Account Manager,Sales,"North Potomac, Maryland",,4,14,0
Jessie Sulidis,25,Cosmetic Sales Manager,Sales,"Oakville, Ontario",,4,14,0
Kathryn Sherlock,25,Corporate Flight Attendant,Transportation,"Lexington, Kentucky",,4,14,0
Ella Nolan,30,Hair Stylist,Retail/Services/Entrepreneur,"La Follette, Tennessee",,4,14,0
Elizabeth Kitt (NE),29,Nanny,Retail/Services/Entrepreneur,"Imperial, Nebraska",,3,14,0
Valishia Savage,32,Homemaker,Misc,"San Bernardino, California",,3,14,0
Michelle Kujawa,26,Office Manager,Corporate,"Anaheim, California",,3,14,0
Ashley Elmore,29,Teacher,Education,"Pittsburgh, Pennsylvania",,2,14,0
Christina McCasland,25,Restaurant Manager,Restaurant,"San Diego, California",,2,14,0
Rozlyn Papa,28,Model/Make-Up Artist,Arts/Entertainment,"Richmond, Virginia",,2,14,0
Alexa (Lex) McAllister,25,Entrepreneur,Retail/Services/Entrepreneur,"Galloway, Ohio",,1,14,0
Caitlyn McCabe,24,Spokesmodel,Marketing,"Winfield, Illinois",,1,14,0
Channy Choch,29,Mortgage Loan Officer,Finance,"Santa Rosa, California",,1,14,0
Elizabeth Kreft (D.C.),29,"Captain, Air National Guard",Government,"Union, Kentucky",,1,14,0
Emily Harkins,23,Fitness Model,Arts/Entertainment,"West Chester, Ohio",,1,14,0
Kimberly Sullivan,24,NBA Dancer,Arts/Entertainment,"Norman, Oklahoma",,1,14,0
Kirsten Pittman,25,Waitress,Restaurant,"Aurora, Colorado",,1,14,0
Sheila Marie Lidner,25,Commercial Pilot,Transportation,"Scottsdale, Arizona",,1,14,0
Stephanie Mueller,24,Dance Teacher,Education,"Morris, Illinois",,1,14,0
Tiana Kruzel,31,Medical Technician,Medical,"Calgary, Alberta",,1,14,0
Emily Maynard,25,Children's Hospital Event Planner,Corporate,"Morgantown, West Virginia",,11,15,0
Chantal O'Brien,28,Executive Assistant,Corporate,"Mercer Island, Washington",,10,15,0
Ashley Hebert,26,Dental Student,Student,"Madawaska, Maine",,9,15,0
Shawntel Newton,25,Funeral Director,Retail/Services/Entrepreneur,"Chico, California",,8,15,0
Michelle Money,30,Hair stylist,Retail/Services/Entrepreneur,"Salt Lake City, Utah",,7,15,0
Britt Billmaier,25,Food writer,Arts/Entertainment,"Woodinville, Washington",,7,15,0
Jackie Gordon,26,Artist,Arts/Entertainment,"Newport, Rhode Island",,6,15,0
Alli Travis,24,Apparel merchant,Retail/Services/Entrepreneur,"Columbus, Ohio",,6,15,0
Lisa Morrisey,24,Marketing Coordinator,Marketing,"Ottawa, Kansas",,5,15,0
Marissa May,26,Sports Publicist,Arts/Entertainment,"Mesa, Arizona",,5,15,0
Ashley Spivey,26,Nanny,Retail/Services/Entrepreneur,"Ellerbe, North Carolina",,5,15,1
Lindsay Hill,25,First grade teacher,Education,"Plano, Texas",,4,15,0
Meghan Merritt,30,Fashion Marketer,Marketing,"Princeton, New Jersey",,4,15,0
Stacey Quirpel,26,Bartender,Restaurant,"Quincy, Massachusetts",,4,15,0
Kimberly Coon,27,Marketing Coordinator,Marketing,"Orlando, Florida",,3,15,0
Sarah Powell,27,Real Estate Broker,Real Estate,"Denver, Colorado",,3,15,0
Madison Garton,25,Model,Arts/Entertainment,"Vail, Colorado",,3,15,0
Keltie Colleen,28,Radio City Rockette,Arts/Entertainment,"Sherwood Park, Alberta",,2,15,0
Melissa Schreiber,32,Waitress,Restaurant,"Westport, Connecticut",,2,15,0
Raichel Goodyear,29,Manscaper,Retail/Services/Entrepreneur,"Fullerton, California",,2,15,0
Britnee,25,Paralegal,Legal,"Holland, Pennsylvania",,1,15,0
Cristy Caserta,30,Attorney,Legal,"Davie, Florida",,1,15,0
"Jessica ""J"" Adams",26,Operations Manager,Corporate,"Seattle, Washington",,1,15,0
Jill Ruskowski,28,Sales director,Sales,"Frisco, Texas",,1,15,0
Lacey Garbelman,27,Insurance agent,Retail/Services/Entrepreneur,"Tampa, Florida",,1,15,0
Lauren Moore,26,High School Teacher,Education,"Culpeper, Virginia",,1,15,0
Lisa P.,27,Sales Consultant,Sales,"Dix Hills, New York",,1,15,0
Rebecca,30,Esthetician,Medical,"Mission Viejo, California",,1,15,0
Renee Halpin,28,Nanny,Retail/Services/Entrepreneur,"Palos Hills, Illinois",,1,15,0
Sarah Ledtke,25,Musical Theatre Performer,Arts/Entertainment,"Saginaw, Michigan",,1,15,0
Courtney Robertson,28,Model,Arts/Entertainment,"Scottsdale, Arizona",,11,16,0
Lindzi Cox,27,Business development manager,Sales,"Newcastle, Washington",,10,16,1
Nicki Sterling,26,Dental hygienist,Medical,"Hurst, Texas",,9,16,0
Kacie Boguskie,24,Administrative assistant,Corporate,"Clarksville, Tennessee",,8,16,0
Emily O'Brien,27,PhD Student,Student,"Chapel Hill, North Carolina",,7,16,0
Rachel Truehart,27,Fashion sales representative,Sales,"Southampton, Massachusetts",,7,16,0
Jamie Otis,25,Registered nurse,Medical,"Dryden, New York",,6,16,0
Casey Shteamer,26,Trading clerk,Finance,"Leawood, Kansas",,6,16,0
Blakeley Jones,33,VIP cocktail waitress,Restaurant,"Rutherfordton, North Carolina",,6,16,0
Jennifer Fritsch,28,Accountant,Finance,"Cache, Oklahoma",,5,16,0
Elyse Myers,24,Personal trainer,Retail/Services/Entrepreneur,"Chicago, Illinois",,5,16,0
Monica Spannbauer,33,Dental consultant,Medical,"Yuba, California",,4,16,0
Samantha Levey,26,Advertising account manager,Sales,"Pittsburgh, Pennsylvania",,4,16,0
Erika Uhlig,23,Law student,Student,"Charlottesville, Virginia",,3,16,0
Jaclyn Swartz,27,Advertising account manager,Sales,"Newton, Massachusetts",,3,16,0
Brittney Schreiner,26,Medical sales representative,Sales,"Colorado Springs, Colorado",,3,16,0
Jenna Burke,27,Blogger,Arts/Entertainment,"Loveland, Ohio",,2,16,0
Shawn Reynolds,28,Financial advisor,Finance,"Cincinnati, Ohio",,2,16,0
Amber Bacon,23,Labor and delivery nurse,Medical,"Port Coquitlam, British Columbia",,1,16,0
Amber Tierney,28,Critical care nurse,Medical,"Waverly, Nebraska",,1,16,0
Anna Snowball,25,Student,Student,"Detroit, Michigan",,1,16,0
Dianna Martinez,30,Nonprofit director,Corporate,"San Gabriel, California",,1,16,0
Holly Johnson,34,Pharmaceutical sales representative,Sales,"Salyersville, Kentucky",,1,16,0
Lyndsie James,29,Internet entrepreneur,Retail/Services/Entrepreneur,"London, England",,1,16,0
Shira Astrof,35,Actress,Arts/Entertainment,"Massapequa Park, New York",,1,16,0
Catherine Giudici,26,Graphic Designer,Arts/Entertainment,"Seattle, Washington",,11,17,0
Lindsay Yenter,24,Substitute Teacher,Education,"Fort Bragg, North Carolina",,10,17,0
AshLee Frazier,32,Personal Organizer,Retail/Services/Entrepreneur,"Houston, Texas",,9,17,0
Desiree Hartsock,26,Bridal Stylist,Retail/Services/Entrepreneur,"Northglenn, Colorado",,8,17,0
Lesley Murphy,24,Political Consultant,Government,"Fort Smith, Arkansas",,7,17,0
Tierra LiCausi,24,Leasing Consultant,Real Estate,"Las Vegas, Nevada",,7,17,1
Daniella McBride,24,Commercial Casting Associate,Arts/Entertainment,"Belmont, California",,6,17,0
Selma Alameri,29,Real Estate Dealer,Real Estate,"Borrego Springs, California",,6,17,0
Sarah Herron,26,Advertising Executive,Marketing,"Evergreen, Colorado",,6,17,0
Robyn Howard,24,Oil Field Account Manager,Sales,"Topeka, Kansas",,5,17,0
Jackie Parr,25,Cosmetics Consultant,Arts/Entertainment,"Ormond Beach, Florida",,5,17,0
Amanda Meyer,26,Fit Model,Arts/Entertainment,"Bakersfield, California",,4,17,0
Leslie Hughes,28,Poker Dealer,Retail/Services/Entrepreneur,"Ruskin, Florida",,4,17,0
Kristy Kaminski,25,Model,Arts/Entertainment,"Darien, Wisconsin",,3,17,0
Taryn Renee Daniels,30,Health Club Manager,Retail/Services/Entrepreneur,"Troutdale, Oregon",,3,17,0
Kacie Boguskie,25,Administrative Assistant,Corporate,"Clarksville, Tennessee",,3,17,0
Brooke Burchette,25,Community Organizer,Misc,"Pittsburgh, Pennsylvania",,2,17,0
Diana Weeks Willardson,31,Salon Owner,Retail/Services/Entrepreneur,"Sandy, Utah",,2,17,0
Katie Levans,27,Yoga Instructor,Retail/Services/Entrepreneur,"Woodstock, Illinois",,2,17,0
Ashley Harper,25,Fashion Model,Arts/Entertainment,"Garner, North Carolina",,1,17,0
Ashley Palenkas,28,Hair Stylist,Retail/Services/Entrepreneur,"Macomb, Michigan",,1,17,0
Kelly Dutton,28,Cruise Ship Entertainer,Arts/Entertainment,"Chattanooga, Tennessee",,1,17,0
Keriann Miranda,29,Entrepreneur,Retail/Services/Entrepreneur,"Agoura Hills, California",,1,17,0
Lacey Latka,24,Graduate Student,Student,"Stevenson Ranch, California",,1,17,0
Lauren Marchetti,27,Journalist,Arts/Entertainment,"Cranston, Rhode Island",,1,17,0
Paige Vigil,25,Jumbotron Operator,Retail/Services/Entrepreneur,"Minnetonka, Minnesota",,1,17,0
Nikki Ferrell,26,Pediatric Nurse,Medical,"Kearney, Missouri",,11,18,0
Clare Crawley,32,Hairstylist,Retail/Services/Entrepreneur,"Sacramento, California",,10,18,0
Andi Dorfman,26,Assistant District Attorney,Legal,"Buckhead, Georgia",,9,18,0
Renee Oteri,32,Real Estate Agent,Real Estate,"Martha's Vineyard, Massachusetts",,8,18,0
Chelsie Webster,24,Science Educator,Education,"Lexington, Ohio",,7,18,0
Sharleen Joynt,29,Opera Singer,Arts/Entertainment,"Ottawa, Ontario",,7,18,1
Kat Hurd,29,Medical Sales Representative/NBA Dancer,Sales,"Iowa City, Iowa",,6,18,0
Cassandra Ferguson,22,Former NBA Dancer,Arts/Entertainment,"Shelby Charter Township, Michigan",,6,18,0
Alli Restko,26,Nanny,Retail/Services/Entrepreneur,"Orland Park, Illinois",,5,18,0
Danielle Ronco,25,Psychiatric Nurse,Medical,"Litchfield, Illinois",,5,18,0
Kelly Travis,27,Dog Lover,Misc,"Conyers, Georgia",,5,18,0
Elise Mosca,27,First Grade Teacher,Education,"Forty Fort, Pennsylvania",,4,18,0
Lauren Solomon,26,Music Composer,Arts/Entertainment,"Austin, Texas",,4,18,0
Christy Hansen,24,Marketing Manager,Marketing,"Aurora, Illinois",,3,18,0
